month,year,hour,lat,long
10,1955,17,-33.16667,-64.95
10,1961,19,50.775,6.08333
10,1966,20,-31.6,-65.23333
10,1968,19,56.18333,10.23333
10,1971,21,54.21667,-113
10,1973,19,16.88333,-99.9
10,1974,21,32.1,71.8
10,1976,20,44.83333,95.16667
10,1977,22,44.21667,0.61667
10,1979,22,-30.86667,-64.55
10,1980,19,16.39806,-9.57028
10,1982,7,19.08333,8.38333
10,1984,22,29.51667,35.05
10,1988,18,29.71667,77.95
10,1988,22,8.91667,8.43333
10,1989,21,39.91667,42.81667
10,1991,22,24.41667,39.51667
10,1992,20,13.66033,28.96
10,1993,22,44.11667,4.08333
10,1994,18,2,22.66667
10,1995,19,45.82133,6.01533
10,1996,20,51.78333,-1.78333
10,1997,16,36.23333,37.13333
10,1997,21,44.88333,8.75
10,1998,13,50.95,31.81667
10,1998,20,45.26667,10.15
10,1998,22,42.53333,-85.88333
10,1999,4,26.96667,-105.31667
10,1999,12,20.74575,32.41275
10,1999,21,35.27333,44.21556
10,1999,23,27.66667,78.25
10,2000,7,26.58333,85.56667
10,2000,20,44.61667,-70.75
10,2000,22,48.7,37.5
10,2001,20,20.88333,76.86667
10,2001,21,-22.96667,-44.31667
10,2002,0,9.53333,39.71667
10,2002,6,25.15,105.18333
10,2002,21,40.81056,140.78556
10,2003,18,53.58333,-2.71667
10,2003,20,43.86667,5.38333
10,2003,23,-33,-66
10,2004,3,38.5,-94.3
10,2004,8,-31.41667,-60.66667
10,2004,15,42.45,9.03333
10,2004,19,31.805,-97.01
10,2004,21,52.05,0.3
10,2005,7,43.03333,12.55
10,2005,14,25.25417,80.625
10,2005,21,20.06667,-103.66667
10,2005,23,34.75,-87
10,2006,5,34.31667,-96.15
10,2006,16,44.38333,5.16667
10,2006,21,36.16667,3.66667
10,2006,23,44.33333,3.23333
10,2007,4,43.08333,0.58333
10,2007,13,-21.46028,-49.95083
10,2007,20,46,13.5
10,2007,20,25,-103.5
10,2007,22,2.71667,32.83333
10,2007,22,36.8,-108
10,2008,2,48.6,38
10,2008,4,28.48333,78.5
10,2008,10,35.96667,-82.48333
10,2008,20,34.5,-88.66667
10,2008,20,5.38333,16.38333
10,2008,22,16.66667,101.18333
10,2009,12,-6.91667,107.6
10,2009,19,27.7,76.33333
10,2009,21,30.4,78.2
