month,year,day,lat,long
10,1949,20,-33.16667,-64.95
10,1949,21,50.775,6.08333
10,1955,17,-31.6,-65.23333
10,1956,21,56.18333,10.23333
10,1960,20,54.21667,-113
10,1961,19,16.88333,-99.9
10,1965,21,32.1,71.8
10,1965,23,44.83333,95.16667
10,1966,20,44.21667,0.61667
10,1966,21,-30.86667,-64.55
10,1968,13,16.39806,-9.57028
10,1968,19,19.08333,8.38333
10,1970,16,29.51667,35.05
10,1970,19,29.71667,77.95
10,1971,21,8.91667,8.43333
10,1972,19,39.91667,42.81667
10,1972,22,24.41667,39.51667
10,1973,19,13.66033,28.96
10,1973,23,44.11667,4.08333
10,1974,19,2,22.66667
10,1974,21,45.82133,6.01533
10,1974,23,51.78333,-1.78333
10,1975,17,36.23333,37.13333
10,1976,20,44.88333,8.75
10,1976,22,50.95,31.81667
10,1977,12,45.26667,10.15
10,1977,22,42.53333,-85.88333
10,1978,02,26.96667,-105.31667
10,1979,00,20.74575,32.41275
10,1979,22,35.27333,44.21556
10,1979,22,27.66667,78.25
10,1979,22,26.58333,85.56667
10,1980,19,44.61667,-70.75
10,1980,22,48.7,37.5
10,1980,23,20.88333,76.86667
10,1982,07,-22.96667,-44.31667
10,1984,05,9.53333,39.71667
10,1984,12,25.15,105.18333
10,1984,22,40.81056,140.78556
10,1985,20,53.58333,-2.71667
10,1986,20,43.86667,5.38333
10,1988,18,-33,-66
10,1988,21,38.5,-94.3
10,1988,22,-31.41667,-60.66667
10,1988,22,42.45,9.03333
10,1989,00,31.805,-97.01
10,1989,21,52.05,0.3
10,1989,21,43.03333,12.55
10,1990,21,25.25417,80.625
10,1991,22,20.06667,-103.66667
10,1991,22,34.75,-87
10,1992,17,34.31667,-96.15
10,1992,18,44.38333,5.16667
10,1992,20,36.16667,3.66667
10,1992,22,44.33333,3.23333
10,1993,03,43.08333,0.58333
10,1993,22,-21.46028,-49.95083
10,1993,23,46,13.5
10,1994,15,25,-103.5
10,1994,18,2.71667,32.83333
10,1994,22,36.8,-108
10,1994,23,48.6,38
10,1995,19,28.48333,78.5
10,1995,22,35.96667,-82.48333
10,1996,03,34.5,-88.66667
10,1996,20,5.38333,16.38333
10,1996,22,16.66667,101.18333
10,1996,22,-6.91667,107.6
10,1997,16,27.7,76.33333
10,1997,17,30.4,78.2
10,1997,20,-6.33333,106
10,1997,21,42.38333,-2.5
10,1998,02,52.73333,84.08333
10,1998,03,52,9.1
10,1998,13,31.61667,76.8
10,1998,17,52.56528,-1.33972
10,1998,17,15.78333,-5.9
10,1998,20,52.03333,20.93583
10,1998,20,45.41667,-98.31667
10,1998,20,38.25,-83.75
10,1998,22,40.66813,-117.18913
10,1998,23,11.08333,-0.18333
10,1999,00,36.75,-93.5
10,1999,04,39.8,-101.2
10,1999,06,51.16667,-117.33333
10,1999,11,53.01667,-4.1
10,1999,12,33.6,-96.46667
10,1999,20,32.25,-8.15
10,1999,21,32.86667,10.8
10,1999,21,39.08333,-89.15
10,1999,22,-26.16667,28.41667
10,1999,22,30,-7
10,1999,23,45.95,-67.55
10,2000,03,-31.91,-58.32833
10,2000,06,11.65,-3.65
10,2000,07,41.68333,-3.8
10,2000,16,40.30583,-105.02325
10,2000,20,42.53333,-73.83333
10,2000,20,43.21667,-0.23333
10,2000,21,33.88333,35.5
10,2000,21,20.88333,74.83333
10,2000,22,26.50833,73.11528
10,2001,03,20.83333,71.46667
10,2001,04,22.68333,90.65
10,2001,20,22.08333,86.9
10,2001,20,53.1,23.2
10,2001,21,50.13333,27.16667
10,2001,21,12.45,-0.08333
10,2001,22,-33.15639,115.67639
10,2001,23,13.76667,5.3
10,2002,00,34.16667,-80.28333
10,2002,02,25.38333,82.6
10,2002,04,60.4,25.8
10,2002,06,40.91667,-78.08333
10,2002,19,36.83333,-97.33333
10,2002,20,31.83333,-98.83333
10,2002,21,49.36667,16.63333
10,2003,09,40.48,-89.00417
10,2003,12,33.83333,115.83333
10,2003,18,23,-102
10,2003,19,12.5,0.7
10,2003,20,44.55,131.63333
10,2003,20,44.86667,10.05
10,2003,21,21.95,78.03333
10,2003,22,54.23333,52.48333
10,2003,23,48.15,24.28333
10,2003,23,55.46667,35.86667
10,2004,02,51.33333,33.88333
10,2004,03,17.71067,-11.3715
10,2004,03,17.17493,-11.34133
10,2004,04,54.56667,-6.33333
10,2004,08,40.5,-80.08333
10,2004,09,50.6,16.3
10,2004,14,50.66694,8.18361
10,2004,15,53.4,9.1
10,2004,15,52.13333,59.31667
10,2004,15,53.9,-112.88333
10,2004,19,39.77978,64.60035
10,2004,19,-31.35,129.19
10,2004,21,10.01667,9.58333
